,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
63,do revenge,tt13327038,movie,Drea and Eleanor agree to go after one another's bullies.,2022,TV-MA,118 min,Comedy,United States,tt13327038,6.3,"31,964",do revenge
64,a jazzman's blues,tt14307536,movie,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",2022,R,127 min,Drama,United States,tt14307536,6.7,"2,671",a jazzman's blues
65,inheritance,tt7923220,movie,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family.",2020,TV-MA,111 min,"Drama, Mystery, Thriller",United States,tt7923220,5.5,"15,191",inheritance
66,father stu,tt14439896,movie,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",2022,R,124 min,"Biography, Drama","United States, South Korea",tt14439896,6.5,"18,269",father stu
67,elysium,tt1535108,movie,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",2013,R,109 min,"Action, Drama, Sci-Fi","United States, Canada",tt1535108,6.6,"448,405",elysium
68,the perfumier,tt21916206,movie,"A police detective tries to get back his girlfriend as well as his sense of smell, as he gets help from a perfume maker who uses deadly methods to find the perfect perfume.",2022,TV-MA,96 min,"Crime, Drama, Mystery",Germany,tt21916206,3.6,990,the perfumier
69,no limit,tt14995258,movie,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,2022,TV-MA,118 min,"Drama, Romance, Sport",France,tt14995258,5.8,"2,149",no limit
70,el jeremías,tt4457020,movie,"Set in Sonora Mexico, the film tells the story of Jeremías an eight year old who finds out he is a gifted child and initiates a journey of self discovery.",2015,PG-13,95 min,"Comedy, Drama, Family",Mexico,tt4457020,7.2,969,el jeremías
71,drifting home,tt15494038,movie,Follows two childhood friends who drift into a mysterious sea with an entire housing complex.,2022,PG,119 min,"Animation, Adventure, Drama",Japan,tt15494038,6.2,"1,659",drifting home
72,inside the world's toughest prisons,tt6322264,series,"Imagine being in jail. Now imagine living in a foreign country. Scary? Paul Connelly takes you inside these jails. He shows what living conditions are for the inmates, as well as the guards. You'll never look at prison the same.",2016–2022,TV-MA,47 min,Documentary,United Kingdom,tt6322264,7.2,"3,206",inside the world's toughest prisons
